animal id,PLYUID,start,stop,duration,mFrequency_Hz,mPeriod_s,mHeight_V,mO2_V,mCO2_V,mTchamber_V,segment,start_time,stop_time,Alias,Cal Seg,MAN_IND_INCLUDE,MAN_IND_CAL,MAN_IND_GAS_CAL,CAL_O2,CAL_CO2,MAN_IND_GAS,MAN_IND_INJECTION
M17864,Ply1179,1593.2,1627.499,34.3,2.852141122,0.3509503686,1.670070877,2.111044429,2.498278232,0.02975214983,Cal 20 5% CO2,0 days 00:26:33.200000,0 days 00:27:07.499000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17865,Ply1180,2816.15,2848.599,32.45,2.78449155,0.3593001995,1.7111632,2.104873162,2.496833371,0.02950784842,Cal 20 5% CO2,0 days 00:46:56.150000,0 days 00:47:28.599000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17866,Ply1170,3108.3,3142.699,34.4,2.834177703,0.3530155608,1.866514178,2.097138341,2.496774464,0.02892680812,Cal 20 5% CO2,0 days 00:51:48.300000,0 days 00:52:22.699000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17874,Ply1178,2012.9,2044.699,31.8,2.82156449,0.3546030829,1.829308285,2.099499631,2.49275285,0.0290027715,Cal 20 5% CO2,0 days 00:33:32.900000,0 days 00:34:04.699000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17877,Ply1183,1248.75,1280.549,31.8,2.901247632,0.3448945801,1.866370183,2.095659279,2.503591962,0.0303087759,Cal 20 5% CO2,0 days 00:20:48.750000,0 days 00:21:20.549000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17878,Ply1160,1204.8500000000001,1240.499,35.65,2.86615421,0.3490984121,1.840922035,2.098766152,2.502812023,0.02924659893,Cal 20 5% CO2,0 days 00:20:04.850000,0 days 00:20:40.499000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17884,Ply1172,5330.5,5364.899,34.4,2.895394145,0.3455343809,1.829119901,2.095245043,2.495606678,0.03013125911,Cal 20 5% CO2,0 days 01:28:50.500000,0 days 01:29:24.899000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17887,Ply1169,2196.8,2229.9990000000003,33.2,2.807427557,0.3563854617,1.725832201,2.104829244,2.495048299,0.02989722299,Cal 20 5% CO2,0 days 00:36:36.800000,0 days 00:37:09.999000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17888,Ply1158,2074.55,2102.9990000000003,28.45,2.845805779,0.351600055,1.863285153,2.098632152,2.49973672,0.02920849086,Cal 20 5% CO2,0 days 00:34:34.550000,0 days 00:35:02.999000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
M17895,Ply1155,2058.15,2090.949,32.8,2.891126425,0.3461267035,1.671386299,2.105838095,2.497379714,0.02978608962,Cal 20 5% CO2,0 days 00:34:18.150000,0 days 00:34:50.949000,Cal 20 5% CO2,Cal 20 5% CO2,0,1,1,NA,5,CO2,Cal
